"","X.1","X","year","stress","satjob1","health1","jobsecok","fringeok","secondwk","famwkoff","partfull","rincome","race","sex","educ","naicsind07","censusocc00","id","ballot","isco08","stressd","stressn","satjob1d","satjob1n","health1d","health1n","jobsecokd","jobsecokn","fringeokd","fringeokn","secondwkd","famwkoffd","famwkoffn","fulld","rincomed","blackraced","femalesexd","colleged","idvar","computefrey","pct_software","pct_robot","pct_ai","naics_id","yearnaics","ko_ratio","kl_ratio","decline","declineord","declinefac"
"3967",3967,3967,"2010","Sometimes","Somewhat satisfied","Very good","Somewhat true","Somewhat true","No","Not at all hard","Full-time","Not applicable","White","Male","14","Printing and related support activities","Industrial truck and tractor operators",1397,"Ballot b",8344,0,2,1,2,1,3,1,2,1,2,0,1,3,1,NA,0,1,0,"2010-1397",0.4795,0.75,0.85,0.35,72,"2010-72",0.09957237,0.2926793,0,2,"Average"
"3968",3968,3968,"2010","Sometimes","Somewhat satisfied","Very good","Very true","Very true","No","Not too hard","Full-time","$20000 - 24999","White","Male","12","U.s. air force","Military, rank not specified",1398,"Ballot c",310,0,2,1,2,1,3,1,3,1,3,0,1,2,1,0,0,1,0,"2010-1398",NA,NA,NA,NA,204,"2010-204",0.3216199,0.9946002,NA,NA,NA
"3969",3969,3969,"2010","Sometimes","Somewhat satisfied","Good","Somewhat true","Not too true","No","Not too hard","Full-time","$20000 - 24999","White","Male","12","Logging","Millwrights",1399,"Ballot a",7233,0,2,1,2,1,2,1,2,0,1,0,1,2,1,0,0,1,0,"2010-1399",0.621625,0.606,0.77,0.672,217,"2010-217",0.1857191,0.4834149,0.1111111,2.111111,"Average"
"3970",3970,3970,"2010","Sometimes","Somewhat satisfied","Good","Very true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Male","12","Pulp, paper, and paperboard mills","Millwrights",1400,"Ballot b",7233,0,2,1,2,1,2,1,3,1,3,0,1,3,1,1,0,1,0,"2010-1400",0.621625,0.606,0.77,0.672,154,"2010-154",0.169251,0.934269,0.1111111,2.111111,"Average"
"3971",3971,3971,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Furniture and home furnishings stores","First-line supervisors of retail sales workers",1401,"Ballot c",5222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1401",0.28,0.28,0.2,0.61,98,"2010-98",0.1485335,0.3216307,1,5,"Decline"
"3972",3972,3972,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","11"," restaurants and other food services","Food service managers",1402,"Ballot a",1412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1402",0.63,0.5,0.26,0.68,25,"2010-25",0.1018977,0.2698651,0,0,"Much faster than average"
"3973",3973,3973,"2010","Sometimes","Very satisfied","Good","Very true","Somewhat true","No","Not at all hard","Full-time","$1000 to 2999","White","Female","9","Traveler accommodation","Maids and housekeeping cleaners",1404,"Ballot c",9111,0,2,1,3,1,2,1,3,1,2,0,1,3,1,0,0,0,0,"2010-1404",0.69,0.42,0.97,0.05,26,"2010-26",0.1713725,0.5219834,1,5,"Decline"
"3974",3974,3974,"2010","Never","Very satisfied","Very good","Very true","Not at all true","No","Not at all hard","Full-time","$3000 to 3999","Black","Female","11","Private households","Childcare workers",1405,"Ballot b",5311,0,0,1,3,1,3,1,3,0,0,0,1,3,1,0,1,0,0,"2010-1405",0.08,0.265,0.31,0.23,86,"2010-86",0.1598245,0.3565043,0,1.5,"Faster than average"
"3975",3975,3975,"2010","Sometimes","Not too satisfied","Very good","Very true","Not at all true","No","Not at all hard","Full-time","$3000 to 3999","Black","Female","13"," restaurants and other food services","Cashiers",1406,"Ballot c",5230,0,2,0,1,1,3,1,3,0,0,0,1,3,1,0,1,0,0,"2010-1406",0.9,0.65,0.23,0.38,25,"2010-25",0.1018977,0.2698651,0.5,4.5,"Little or no change"
"3976",3976,3976,"2010","Hardly ever","Somewhat satisfied","Good","Somewhat true","Very true","No","Not too hard","Full-time","$10000 - 14999","Black","Female","14","Hospitals","Medical assistants",1407,"Ballot a",3256,0,1,1,2,1,2,1,2,1,3,0,1,2,1,0,1,0,0,"2010-1407",0.3,0.3,0.57,0.26,14,"2010-14",0.1110381,0.2320777,0,0,"Much faster than average"
"3977",3977,3977,"2010","Often","Somewhat satisfied","Fair","Very true","Not at all true","No","Not at all hard","Full-time","$8000 to 9999","White","Male","12","Construction","Construction laborers",1408,"Ballot b",9313,1,3,1,2,1,1,1,3,0,0,0,1,3,1,0,0,1,0,"2010-1408",0.8,0.68,0.88,0.48,18,"2010-18",0.07393288,0.1867498,0,0.5,"Much faster than average"
"3978",3978,3978,"2010","Often","Somewhat satisfied","Very good","Not too true","Not at all true","Yes","Somewhat hard","Full-time","$15000 - 19999","White","Male","12","Construction","Carpet, floor, and tile installers and finishers",1409,"Ballot a",7122,1,3,1,2,1,3,0,1,0,0,1,0,1,1,0,0,1,0,"2010-1409",0.82,0.49,0.92,0.35,18,"2010-18",0.07393288,0.1867498,0.25,1.5,"Faster than average"
"3979",3979,3979,"2010","Often","Somewhat satisfied","Good","Not at all true","Not at all true","No","Not too hard","Full-time","$25000 or more","White","Female","15","Warehousing and storage","General and operations managers",1410,"Ballot b",1120,1,3,1,2,1,2,0,0,0,0,0,1,2,1,1,0,0,0,"2010-1410",0.0875,0.4,0.175,0.48,139,"2010-139",0.1682754,0.3466026,0.5,3,"Slower than average"
"3980",3980,3980,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Full-time","$5000 to 5999","Other","Female","15"," restaurants and other food services","Waiters and waitresses",1411,"Ballot c",5131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,"2010-1411",0.9,0.115,0.615,0.07,25,"2010-25",0.1018977,0.2698651,0,1,"Faster than average"
"3981",3981,3981,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Legal services","Secretaries and administrative assistants",1412,"Ballot a",3343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1412",0.68,0.33,0.43,0.09,7,"2010-7",0.1843849,0.3862237,0.5,3,"Slower than average"
"3982",3982,3982,"2010","Often","Somewhat satisfied","Good","Somewhat true","Not at all true","No","Not too hard","Full-time","$20000 - 24999","White","Male","13"," restaurants and other food services","Waiters and waitresses",1413,"Ballot c",5131,1,3,1,2,1,2,1,2,0,0,0,1,2,1,0,0,1,0,"2010-1413",0.9,0.115,0.615,0.07,25,"2010-25",0.1018977,0.2698651,0,1,"Faster than average"
"3983",3983,3983,"2010","Sometimes","Somewhat satisfied","Very good","Somewhat true","Very true","Yes","Not too hard","Full-time","$25000 or more","White","Male","14","Construction","Drafters",1414,"Ballot b",3118,0,2,1,2,1,3,1,2,1,3,1,1,2,1,1,0,1,0,"2010-1414",0.513,0.49,0.34,0.81,18,"2010-18",0.07393288,0.1867498,0.2,3.4,"Slower than average"
"3984",3984,3984,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","17","Elementary and secondary schools","Elementary and middle school teachers",1415,"Ballot b",2341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,"2010-1415",0.0872,0.22,0.14,0.4,6,"2010-6",0.06956712,0.1205892,0,2.5,"Average"
"3985",3985,3985,"2010","Sometimes","Very satisfied","Fair","Not too true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Female","16","Newspaper publishers","News analysts, reporters and correspondents",1416,"Ballot c",2642,0,2,1,3,1,1,0,1,1,3,0,1,3,1,1,0,0,1,"2010-1416",0.0825,0.05,0.06,0.14,31,"2010-31",0.2620781,0.8384177,1,5,"Decline"
"3986",3986,3986,"2010","Sometimes","Somewhat satisfied","Fair","Very true","Not too true","No","Not too hard","Full-time","$15000 - 19999","White","Female","13","Business support services","Athletes, coaches, umpires, and related workers",1417,"Ballot c",3422,0,2,1,2,1,1,1,3,0,1,0,1,2,1,0,0,0,0,"2010-1417",0.3743333,0.27,0.54,0.52,30,"2010-30",0.1121599,0.1952497,0,0.6666667,"Faster than average"
"3987",3987,3987,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Part-time","Not applicable","White","Female","16","Traveler accommodation","Marketing and sales managers",1418,"Ballot b",1221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,"2010-1418",0.61,0.68,0.37,0.82,26,"2010-26",0.1713725,0.5219834,0,1.5,"Faster than average"
"3988",3988,3988,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","14","Truck transportation","Driver/sales workers and truck drivers",1419,"Ballot b",8332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2010-1419",0.4095,0.75,0.85,0.35,136,"2010-136",0.09811968,0.3035096,0,2,"Average"
"3989",3989,3989,"2010","Often","Very satisfied","Very good","Somewhat true","Very true","No","Very hard","Full-time","$25000 or more","White","Female","12","Construction","First-line supervisors of construction trades and extraction workers",1420,"Ballot c",3123,1,3,1,3,1,3,1,2,1,3,0,0,0,1,1,0,0,0,"2010-1420",0.17,0.41,0.48,0.87,18,"2010-18",0.07393288,0.1867498,0,1,"Faster than average"
"3990",3990,3990,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Elementary and secondary schools","Bus drivers",1421,"Ballot c",8331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1421",0.61225,1,0.97,1,6,"2010-6",0.06956712,0.1205892,0,2,"Average"
"3991",3991,3991,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Part-time","Not applicable","White","Female","12","Hospitals","Health practitioner support technologists and technicians",1422,"Ballot b",3210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,"2010-1422",0.9,0.32,0.33,0.34,14,"2010-14",0.1110381,0.2320777,0,0,"Much faster than average"
"3992",3992,3992,"2010","Often","Very satisfied","Excellent","Not too true","Not too true","No","Somewhat hard","Full-time","Not applicable","Other","Female","17","Offices of optometrists","First-line supervisors of office and administrative support workers",1423,"Ballot c",3341,1,3,1,3,1,4,0,1,0,1,0,0,1,1,NA,0,0,1,"2010-1423",0.014,0.08,0.08,0.29,224,"2010-224",0.08740084,0.1597304,0,4,"Little or no change"
"3993",3993,3993,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Full-time","$7000 to 7999","White","Female","15"," restaurants and other food services","Waiters and waitresses",1424,"Ballot c",5131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,"2010-1424",0.9,0.115,0.615,0.07,25,"2010-25",0.1018977,0.2698651,0,1,"Faster than average"
"3994",3994,3994,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Aerospace product and parts manufacturing","Secretaries and administrative assistants",1425,"Ballot a",3343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1425",0.68,0.33,0.43,0.09,34,"2010-34",0.1899729,0.5793672,0.5,3,"Slower than average"
"3995",3995,3995,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","14","Justice, public order, and safety activities","Police and sheriff's patrol officers",1426,"Ballot b",5412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1426",0.2241333,0.63,0.38,0.77,42,"2010-42",0.1843849,0.3862237,0,2,"Average"
"3996",3996,3996,"2010","Always","Very satisfied","Good","Very true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Male","14","Construction","Construction managers",1427,"Ballot c",1323,1,4,1,3,1,2,1,3,1,3,0,1,3,1,1,0,1,0,"2010-1427",0.17,0.5,0.26,0.68,18,"2010-18",0.07393288,0.1867498,0,1,"Faster than average"
"3997",3997,3997,"2010","Sometimes","Somewhat satisfied","Fair","Somewhat true","Somewhat true","No","Somewhat hard","Full-time","$25000 or more","White","Female","14","Banking and related activities","Loan interviewers and clerks",1428,"Ballot b",4312,0,2,1,2,1,1,1,2,1,2,0,0,1,1,1,0,0,0,"2010-1428",0.968,0.27,0.176,0.294,66,"2010-66",0.3047633,0.9695431,0.3333333,2.666667,"Slower than average"
"3998",3998,3998,"2010","Often","Very satisfied","Good","Very true","Very true","No","Very hard","Full-time","$25000 or more","White","Female","12","Residential care facilities, without nursing","Cooks",1429,"Ballot b",5120,1,3,1,3,1,2,1,3,1,3,0,0,0,1,1,0,0,0,"2010-1429",0.732,0.67,0.09,0.26,119,"2010-119",0.1110381,0.2320777,0,1.666667,"Average"
"3999",3999,3999,"2010","Hardly ever","Very satisfied","Excellent","Somewhat true","Not too true","No","Somewhat hard","Part-time","$15000 - 19999","White","Female","16"," restaurants and other food services","Waiters and waitresses",1430,"Ballot a",5131,0,1,1,3,1,4,1,2,0,1,0,0,1,0,0,0,0,1,"2010-1430",0.9,0.115,0.615,0.07,25,"2010-25",0.1018977,0.2698651,0,1,"Faster than average"
"4000",4000,4000,"2010","Often","Not too satisfied","Good","Not too true","Not at all true","No","Not too hard","Part-time","$6000 to 6999","White","Female","13"," restaurants and other food services","Waiters and waitresses",1431,"Ballot b",5131,1,3,0,1,1,2,0,1,0,0,0,1,2,0,0,0,0,0,"2010-1431",0.9,0.115,0.615,0.07,25,"2010-25",0.1018977,0.2698651,0,1,"Faster than average"
"4001",4001,4001,"2010","Sometimes","Very satisfied","Very good","Very true","Very true","Yes","Somewhat hard","Full-time","$10000 - 14999","White","Male","11","Construction","Construction laborers",1432,"Ballot c",9313,0,2,1,3,1,3,1,3,1,3,1,0,1,1,0,0,1,0,"2010-1432",0.8,0.68,0.88,0.48,18,"2010-18",0.07393288,0.1867498,0,0.5,"Much faster than average"
"4002",4002,4002,"2010","Sometimes","Somewhat satisfied","Good","Somewhat true","Somewhat true","No","Somewhat hard","Full-time","$3000 to 3999","White","Female","14","Other telecommunications services","Insurance claims and policy processing clerks",1433,"Ballot a",4312,0,2,1,2,1,2,1,2,1,2,0,0,1,1,0,0,0,0,"2010-1433",0.968,0.27,0.176,0.294,93,"2010-93",0.3435733,1.64175,0.3333333,2.666667,"Slower than average"
"4003",4003,4003,"2010","Sometimes","Not too satisfied","Good","Not at all true","Not at all true","No","Very hard","Part-time","$25000 or more","White","Male","11","Construction","Carpenters",1434,"Ballot b",7115,0,2,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,"2010-1434",0.72,0.82,0.77,0.85,18,"2010-18",0.07393288,0.1867498,0,1,"Faster than average"
"4004",4004,4004,"2010","Often","Very satisfied","Very good","Somewhat true","Somewhat true","No","Not too hard","Part-time","$15000 - 19999","White","Female","12","Colleges and universities, including junior colleges","Financial specialists, all other",1435,"Ballot a",3339,1,3,1,3,1,3,1,2,1,2,0,1,2,0,0,0,0,0,"2010-1435",0.2977143,0.225,0.19875,0.465,4,"2010-4",0.06956712,0.1205892,0.375,2.875,"Slower than average"
"4005",4005,4005,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","8","Private households","Maids and housekeeping cleaners",1436,"Ballot b",9111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1436",0.69,0.42,0.97,0.05,86,"2010-86",0.1598245,0.3565043,1,5,"Decline"
"4006",4006,4006,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Part-time","$1000 to 2999","White","Female","15","Offices of dentists","Miscellaneous healthcare support occupations, including medical equipment preparers",1437,"Ballot b",5329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"2010-1437",0.578,0.46,0.58,0.2,112,"2010-112",0.08740084,0.1597304,0.125,1.125,"Faster than average"
"4007",4007,4007,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","11","Real estate","Property, real estate, and community association managers",1438,"Ballot a",3334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2010-1438",0.635,0.205,0.205,0.475,32,"2010-32",0.6464788,15.36544,0.25,2,"Average"
"4008",4008,4008,"2010","Often","Very satisfied","Excellent","Very true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Female","14","Executive offices and legislative bodies","Secretaries and administrative assistants",1439,"Ballot b",3343,1,3,1,3,1,4,1,3,1,3,0,1,3,1,1,0,0,0,"2010-1439",0.68,0.33,0.43,0.09,23,"2010-23",0.3216199,0.9946002,0.5,3,"Slower than average"
"4009",4009,4009,"2010","Often","Somewhat satisfied","Fair","Somewhat true","Somewhat true","No","Somewhat hard","Full-time","$25000 or more","Other","Male","4","Crop production","Miscellaneous agricultural workers",1441,"Ballot b",9211,1,3,1,2,1,1,1,2,1,2,0,0,1,1,1,0,1,0,"2010-1441",0.87,0.97,0.93,0.93,177,"2010-177",0.222851,1.294366,0,2.5,"Average"
"4010",4010,4010,"2010","Hardly ever","Somewhat satisfied","Fair","Somewhat true","Very true","No","Not too hard","Part-time","$4000 to 4999","Other","Female","13","Child day care services","Teacher assistants",1442,"Ballot c",5312,0,1,1,2,1,1,1,2,1,3,0,1,2,0,0,0,0,0,"2010-1442",0.56,0.07,0.33,0.07,36,"2010-36",0.06189511,0.1149265,0,2,"Average"
"4011",4011,4011,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Black","Female","5","Nursing care facilities","Personal care aides",1443,"Ballot a",5322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"2010-1443",0.402,0.225,0.33,0.235,65,"2010-65",0.1110381,0.2320777,0,0,"Much faster than average"
"4012",4012,4012,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Part-time","Lt $1000","Other","Female","12"," restaurants and other food services","Waiters and waitresses",1444,"Ballot b",5131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"2010-1444",0.9,0.115,0.615,0.07,25,"2010-25",0.1018977,0.2698651,0,1,"Faster than average"
"4013",4013,4013,"2010","Hardly ever","Not too satisfied","Very good","Somewhat true","Not at all true","No","Somewhat hard","Full-time","$15000 - 19999","Other","Female","9","Gasoline stations","Cashiers",1445,"Ballot c",5230,0,1,0,1,1,3,1,2,0,0,0,0,1,1,0,0,0,0,"2010-1445",0.9,0.65,0.23,0.38,21,"2010-21",0.1313995,0.3454555,0.5,4.5,"Little or no change"
"4014",4014,4014,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Other","Female","0","Private households","Maids and housekeeping cleaners",1446,"Ballot a",9111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1446",0.69,0.42,0.97,0.05,86,"2010-86",0.1598245,0.3565043,1,5,"Decline"
"4015",4015,4015,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Refused","White","Female","11","Fabric mills, except knitting mills","Production workers, all other",1447,"Ballot c",9329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1447",0.8133333,0.8375,0.905,0.4275,174,"2010-174",0.05424835,0.2669115,0,2.5,"Average"
"4016",4016,4016,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Part-time","$1000 to 2999","Other","Female","11"," restaurants and other food services","Combined food preparation and serving workers, including fast food",1449,"Ballot c",5246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"2010-1449",0.93,0.07,0.76,0.07,25,"2010-25",0.1018977,0.2698651,0,1.333333,"Faster than average"
"4017",4017,4017,"2010","Sometimes","Very satisfied","Excellent","Somewhat true","Very true","No","Very hard","Part-time","$10000 - 14999","White","Male","6","Crop production","Miscellaneous agricultural workers",1450,"Ballot c",9211,0,2,1,3,1,4,1,2,1,3,0,0,0,0,0,0,1,0,"2010-1450",0.87,0.97,0.93,0.93,177,"2010-177",0.222851,1.294366,0,2.5,"Average"
"4018",4018,4018,"2010","Hardly ever","Very satisfied","Good","Somewhat true","Somewhat true","No","Not at all hard","Full-time","$25000 or more","Other","Male","13","Electric power generation, transmission, and distribution","Welding, soldering, and brazing workers",1451,"Ballot b",7212,0,1,1,3,1,2,1,2,1,2,0,1,3,1,1,0,1,0,"2010-1451",0.775,0.61,0.82,0.3,22,"2010-22",0.3746462,2.28088,0.5,4,"Little or no change"
"4019",4019,4019,"2010","Sometimes","Very satisfied","Good","Very true","Very true","No","Not at all hard","Full-time","Refused","Black","Female","11","Fruit and vegetable preserving and specialty food manufacturing","Food batchmakers",1452,"Ballot c",7512,0,2,1,3,1,2,1,3,1,3,0,1,3,1,NA,1,0,0,"2010-1452",0.89,0.24,0.52,0.14,193,"2010-193",0.178173,1.390977,0,2,"Average"
"4020",4020,4020,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","2","Crop production","Miscellaneous agricultural workers",1453,"Ballot b",9211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"2010-1453",0.87,0.97,0.93,0.93,177,"2010-177",0.222851,1.294366,0,2.5,"Average"
"4021",4021,4021,"2010","Sometimes","Very satisfied","Good","Very true","Very true","No","Somewhat hard","Full-time","$25000 or more","White","Male","12","Construction","Dredge, excavating, and loading machine operators",1454,"Ballot c",8342,0,2,1,3,1,2,1,3,1,3,0,0,1,1,1,0,1,0,"2010-1454",0.892,0.99,0.98,0.82,18,"2010-18",0.07393288,0.1867498,0,0.8,"Faster than average"
"4022",4022,4022,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Refused","White","Female","15","Investigation and security services","Chief executives",1455,"Ballot b",1120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1455",0.0875,0.4,0.175,0.48,67,"2010-67",0.1598245,0.3565043,0.5,3,"Slower than average"
"4023",4023,4023,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Female","12","Nursing care facilities","Nursing, psychiatric, and home health aides",1456,"Ballot c",5321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"2010-1456",0.47,0.3,0.57,0.26,65,"2010-65",0.1110381,0.2320777,0,0.5,"Much faster than average"
"4024",4024,4024,"2010","Hardly ever","Very satisfied","Very good","Very true","Very true","No","Not at all hard","Full-time","$25000 or more","White","Female","12","Justice, public order, and safety activities","Office clerks, general",1457,"Ballot b",4110,0,1,1,3,1,3,1,3,1,3,0,1,3,1,1,0,0,0,"2010-1457",0.97,0.265,0.3,0.17,42,"2010-42",0.1843849,0.3862237,1,5,"Decline"
"4025",4025,4025,"2010","No answer","No answer","No answer","No answer","No answer","No answer","No answer","Full-time","$25000 or more","White","Male","20","Administration of economic programs and space research","Managers, all other",1458,"Ballot c",1219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,"2010-1458",0.16,0.5,0.26,0.68,43,"2010-43",0.1121599,0.1952497,0.1666667,2.166667,"Average"
"4026",4026,4026,"2010","Never","Very satisfied","Good","Very true","Very true","No","Not at all hard","Full-time","Refused","White","Male","12","National security and international affairs","Training and development specialists",1459,"Ballot b",2424,0,0,1,3,1,2,1,3,1,3,0,1,3,1,NA,0,1,0,"2010-1459",0.014,0.1,0.06,0.44,46,"2010-46",0.3216199,0.9946002,0,1,"Faster than average"
"4027",4027,4027,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Full-time","$25000 or more","White","Male","13","Administration of economic programs and space research","Industrial engineers, including health and safety",1460,"Ballot a",2141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,"2010-1460",0.029,0.62,0.5,0.84,43,"2010-43",0.1121599,0.1952497,0,1,"Faster than average"
"4028",4028,4028,"2010","Often","Not too satisfied","Good","Very true","Not at all true","No","Not at all hard","Full-time","$25000 or more","White","Male","14","Sewage treatment facilities","Septic tank servicers and sewer pipe cleaners",1461,"Ballot a",9129,1,3,0,1,1,2,1,3,0,0,0,1,3,1,1,0,1,0,"2010-1461",0.83,0.62,0.83,0.44,187,"2010-187",0.3746462,2.28088,0,0.5,"Much faster than average"
"4029",4029,4029,"2010","Always","Somewhat satisfied","Very good","Very true","Somewhat true","Yes","Not too hard","Full-time","$10000 - 14999","White","Female","13","Elementary and secondary schools","Teacher assistants",1462,"Ballot b",5312,1,4,1,2,1,3,1,3,1,2,1,1,2,1,0,0,0,0,"2010-1462",0.56,0.07,0.33,0.07,6,"2010-6",0.06956712,0.1205892,0,2,"Average"
"4030",4030,4030,"2010","Never","Somewhat satisfied","Good","Not at all true","Not at all true","No","Not too hard","Part-time","$10000 - 14999","Black","Male","7","Construction","Construction laborers",1463,"Ballot a",9313,0,0,1,2,1,2,0,0,0,0,0,1,2,0,0,1,1,0,"2010-1463",0.8,0.68,0.88,0.48,18,"2010-18",0.07393288,0.1867498,0,0.5,"Much faster than average"
"4031",4031,4031,"2010","No issp","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","White","Male","16","Construction","Operating engineers and other construction equipment  operators",1464,"Ballot b",8342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,"2010-1464",0.892,0.99,0.98,0.82,18,"2010-18",0.07393288,0.1867498,0,0.8,"Faster than average"
"4032",4032,4032,"2010","Sometimes","Not too satisfied","Excellent","Very true","Very true","No","Somewhat hard","Full-time","$15000 - 19999","White","Male","15","Traveler accommodation","First-line supervisors of food preparation and serving workers",1465,"Ballot c",5120,0,2,0,1,1,4,1,3,1,3,0,0,1,1,0,0,1,0,"2010-1465",0.732,0.67,0.09,0.26,26,"2010-26",0.1713725,0.5219834,0,1.666667,"Average"
"4033",4033,4033,"2010","Often","Somewhat satisfied","Fair","Very true","Not too true","No","Somewhat hard","Full-time","$20000 - 24999","White","Male","16","Miscellaneous retail stores","Customer service representatives",1466,"Ballot c",4222,1,3,1,2,1,1,1,3,0,1,0,0,1,1,0,0,1,1,"2010-1466",0.755,0.545,0.295,0.505,200,"2010-200",0.1485335,0.3216307,0.5,3.5,"Slower than average"
"4034",4034,4034,"2010","Hardly ever","Somewhat satisfied","Good","Very true","Not at all true","No","Not too hard","Part-time","Not applicable","Black","Male","12","Oil and gas extraction","Industrial truck and tractor operators",1467,"Ballot b",8344,0,1,1,2,1,2,1,3,0,0,0,1,2,0,NA,1,1,0,"2010-1467",0.4795,0.75,0.85,0.35,236,"2010-236",0.7232053,6.548694,0,2,"Average"
